      Step     Time          Energy          fmax
FIRE:    9 13:38:26     -310.433167        0.516356
FIRE:   10 13:38:27     -310.510101        0.518415
FIRE:   11 13:38:27     -310.596771        0.237204
FIRE:   12 13:38:27     -310.632965        0.178644
FIRE:   13 13:38:28     -310.634766        0.162509
FIRE:   14 13:38:28     -310.637878        0.131181
FIRE:   15 13:38:28     -310.641571        0.086849
FIRE:   16 13:38:29     -310.645020        0.082260
FIRE:   17 13:38:29     -310.647766        0.079622
FIRE:   18 13:38:29     -310.649994        0.075270
FIRE:   19 13:38:30     -310.652252        0.093715
FIRE:   20 13:38:30     -310.655060        0.097879
FIRE:   21 13:38:30     -310.658508        0.074277
FIRE:   22 13:38:31     -310.661560        0.034084
      Step     Time          Energy          fmax
FIRE:    0 13:38:32     -521.485352        1.472079
FIRE:    1 13:38:33     -521.593689        1.289501
FIRE:    2 13:38:33     -521.758118        0.898624
FIRE:    3 13:38:34     -521.887268        0.323512
FIRE:    4 13:38:34     -521.915039        0.294136
FIRE:    5 13:38:34     -521.917297        0.281946
FIRE:    6 13:38:35     -521.921570        0.262936
FIRE:    7 13:38:35     -521.927002        0.234833
FIRE:    8 13:38:35     -521.932739        0.197994
FIRE:    9 13:38:36     -521.938049        0.153044
FIRE:   10 13:38:36     -521.942200        0.101371
FIRE:   11 13:38:37     -521.944824        0.084421
FIRE:   12 13:38:37     -521.946167        0.080106
FIRE:   13 13:38:37     -521.946594        0.106777
FIRE:   14 13:38:38     -521.946716        0.105473
FIRE:   15 13:38:38     -521.947021        0.102870
FIRE:   16 13:38:38     -521.947449        0.099024
FIRE:   17 13:38:39     -521.947998        0.093962
FIRE:   18 13:38:39     -521.948608        0.087768
FIRE:   19 13:38:39     -521.949280        0.080536
FIRE:   20 13:38:40     -521.949951        0.072373
FIRE:   21 13:38:40     -521.950684        0.062443
FIRE:   22 13:38:41     -521.951416        0.057071
FIRE:   23 13:38:41     -521.952087        0.052991
FIRE:   24 13:38:41     -521.952759        0.048318
      Step     Time          Energy          fmax
FIRE:    0 13:38:42     -521.485352        1.472079
FIRE:    1 13:38:42     -521.593689        1.289500
FIRE:    2 13:38:43     -521.758118        0.898625
FIRE:    3 13:38:43     -521.887268        0.323512
FIRE:    4 13:38:43     -521.915039        0.294136
