No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
353,Ba2_Pr6_Mn8_O24,Ba2Pr6Mn8O24.vasp,NOT,train,Ba2,8,Ba,2,Pr6,Pr,6,,0.024,-305.787607,-335.619607,-8.390490175,30,0.242221959,0.143923529,0.218830729,0.02514532,-0.778570189,-0.778434598,-3.381394754,-3.380525308,0.023433318,0.023506841,-0.736530995,-0.736737397,0.1439163113559168,0.2191613571274177,0.242181468,0.024158156
4155,Y8_V4_Ni4_O24,Y8V4Ni4O24.vasp,NOT,train,Y8,8,Y,8,,,0,,1.711,-314.308035,-347.760035,-8.694000875,12,0.357527712,0.361634705,0.361634705,1.710663527429979,0.670209792,0.6696428119715749,0.5429055172294024,0.542812329,0.6271734460004541,0.6272377662719646,0.7365309947769363,0.7371475455495067,0.3616266098909972,0.3612161432553286,0.3575672228491182,1.7107202580608476
2469,Sr4_La1_Zn3_Mn8_O24,Sr4La1Zn3Mn8O24.vasp,NOT,train,Sr4,8,Sr,4,La1,La,1,Zn3,0.123,-264.139947,-293.971947,-7.349298675,25,0.892709517,0.485081234,0.559442518,0.1233246887352696,-0.693549906,-0.693449587,-2.017406151,-2.017100575,0.1094339837813294,0.1094862011058533,-0.251806375,-0.251785424,0.4850498654100583,0.5589270299040824,0.8926911624020778,0.1230224005626177
2270,Sr4_Be4_Ta2_Nb6_O24,Sr4Be4Ta2Nb6O24.vasp,NOT,train,Sr4,8,Sr,4,Be4,Be,4,,0.646,-323.651187,-340.139187,-8.503479675,0,1.004895244,1.464895244,1.464895244,0.645796672,-0.244402348,-0.243812065,-0.42159449,-0.422593486,0.3911146353065639,0.3910991811597907,0.2014909658984289,0.2010765706325008,1.4648802656838398,1.4652191086253068,1.0049916710172455,0.6461376549128717
498,Sr2_Y6_Zr8_O24,Sr2Y6Zr8O24.vasp,NOT,train,Sr2,8,Sr,2,Y6,Y,6,,0.516,-358.214271,-374.702271,-9.367556775,2,0.694815552,1.039815552,1.061178621,0.5160512533292212,-0.356045144,-0.357025702,-0.642454066,-0.641624734,0.3393756121536692,0.3394542982293645,0.1231637109552191,0.1219623515407699,1.039746760005815,1.0610040827684928,0.6948456658629134,0.5159608035229251
3313,Ba8_Zn8_O24,Ba8Zn8O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.12,-200.007355,-216.495355,-5.412383875,0,1.785437554,0.820204309,1.372657165,0.1207040589696019,-0.696126278,-0.696140437,-2.040220829,-2.040761959,0.1070529193889184,0.1069680853871306,-0.253457178,-0.253434432,0.8202025952337192,1.3732396991271971,1.7853324327796125,0.11975945783901075
4409,La8_Ce2_Sc6_O24,La8Ce2Sc6O24.vasp,NOT,train,La8,8,La,8,,,0,,0.246,-343.652994,-360.140994,-9.00352485,2,0.397467271,0.512467271,0.563086757,0.2455127144235578,-0.587918644,-0.587835743,-1.362577835,-1.362485844,0.1971161323896426,0.197017629,-0.073351156,-0.073270792,0.5124509316537054,0.5633177875661101,0.3974087493994105,0.24588362513466847
3674,Ba8_Mn2_Ni6_O24,Ba8Mn2Ni6O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.022,-223.852815,-258.922815,-6.473070375,20.1753,1.667321497,0.640169967,1.090071585,0.022539685,-0.780287771,-0.780320875,-3.442019376,-3.441647899,0.021522893,0.021679706,-0.761935945,-0.76157129,0.640155984,1.090542301175115,1.6673656808881283,0.021862966
1511,Zr2_Ba6_Mn6_Ce2_O24,Zr2Ba6Mn6Ce2O24.vasp,NOT,train,Zr2,8,Zr,2,Ba6,Ba,6,,0.108,-298.871773,-325.367773,-8.134194325,22,0.565741198,0.460189295,0.540297092,0.1075414383249842,-0.706431767,-0.706588636,-2.137070655,-2.137694496,0.097398741,0.097399979,-0.282185334,-0.281843989,0.4601992627389372,0.5400917404298851,0.565734434,0.10790687842659474
1780,La4_Gd4_Sc8_O24,La4Gd4Sc8O24.vasp,NOT,train,La4,8,La,4,Gd4,Gd,4,,1.356,-364.46036,-380.94836,-9.523709,-2,0.575336491,1.035336491,1.035336491,1.3559823322357871,0.3653390790535687,0.3649748131365688,0.3118867611485983,0.3121428074710949,0.5723645182892119,0.5723676386932507,0.5570347001794724,0.5557220201514781,1.035363685,1.0357791779412269,0.5754269716897966,1.3561556625870488
