      Step     Time          Energy          fmax
FIRE:   22 16:42:37     -383.361420        0.110361
FIRE:   23 16:42:37     -383.363434        0.106216
FIRE:   24 16:42:37     -383.365753        0.103422
FIRE:   25 16:42:37     -383.368347        0.100011
FIRE:   26 16:42:38     -383.371124        0.095912
FIRE:   27 16:42:38     -383.374023        0.091080
FIRE:   28 16:42:38     -383.376923        0.085525
FIRE:   29 16:42:39     -383.379852        0.079341
FIRE:   30 16:42:39     -383.382812        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:42:40     -381.890503        1.286676
FIRE:    1 16:42:40     -382.111847        1.123996
FIRE:    2 16:42:41     -382.461823        0.837890
FIRE:    3 16:42:41     -382.810120        0.485095
FIRE:    4 16:42:42     -383.055389        0.377657
FIRE:    5 16:42:42     -383.167328        0.359994
FIRE:    6 16:42:42     -383.187653        0.561418
FIRE:    7 16:42:43     -383.196198        0.543579
FIRE:    8 16:42:43     -383.212219        0.508951
FIRE:    9 16:42:43     -383.233948        0.459463
FIRE:   10 16:42:44     -383.258881        0.397705
FIRE:   11 16:42:44     -383.284393        0.326605
FIRE:   12 16:42:44     -383.307892        0.249236
FIRE:   13 16:42:45     -383.327332        0.168838
FIRE:   14 16:42:45     -383.342499        0.120517
FIRE:   15 16:42:45     -383.351410        0.115667
FIRE:   16 16:42:46     -383.354218        0.128851
FIRE:   17 16:42:46     -383.354614        0.127937
FIRE:   18 16:42:46     -383.355347        0.126119
FIRE:   19 16:42:47     -383.356476        0.123411
FIRE:   20 16:42:47     -383.357880        0.119854
FIRE:   21 16:42:47     -383.359558        0.115485
FIRE:   22 16:42:47     -383.361420        0.110361
FIRE:   23 16:42:48     -383.363434        0.106216
FIRE:   24 16:42:48     -383.365753        0.103421
FIRE:   25 16:42:48     -383.368347        0.100011
FIRE:   26 16:42:49     -383.371124        0.095912
FIRE:   27 16:42:49     -383.374023        0.091081
FIRE:   28 16:42:49     -383.376923        0.085525
FIRE:   29 16:42:50     -383.379852        0.079341
FIRE:   30 16:42:50     -383.382843        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:42:51     -383.382843        0.072712
FIRE:    1 16:42:51     -383.383698        0.072464
FIRE:    2 16:42:51     -383.385254        0.071900
